RA,Ano,Fase,fase_num,Fase_Ideal,Defasagem,INDE_ano,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Mat,Por,Ing,Idade,ano_nasc_obs,Gênero,Ano ingresso,Pedra_ano,Instituicao,Pedra20,Pedra21,Pedra22_hist,Pedra23_hist,INDE22_hist,INDE23_hist,Atingiu_PV,Rec_Psicologia,ano_nasc,idade_padronizada,Fase_Ideal_base,Defasagem_base,fase_ideal_num,IDA_original,IPP_origem,_ipp_reconstruido_invalido,_recuperado_algebrico,excluir_tudo,n_feat_modelo,motivo_exclusao_modelo,excluir_modelo
RA-66,2022,5,5,7,-2,5.665,7.5,5.6,7.5,4.616,4.5,5.917,5.0,3.0,6.0,,17.0,2005,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,4.5,reconstruido_2022,False,,False,5,,False
RA-67,2022,5,5,6,-1,5.195,5.8,3.0,7.5,6.672,3.6,6.889,5.0,3.0,4.2,3.5,16.0,2006,Menina,2019,Quartzo,Escola Pública,Ágata,Ágata,Quartzo,,,,Não,Não atendido,2006,16,Fase 6 (2º EM),-1,6,3.6,reconstruido_2022,False,,False,5,,False
RA-68,2022,5,5,6,-1,6.438,8.3,6.0,7.5,7.492,4.1,7.944,5.0,4.7,4.8,2.7,16.0,2006,Menino,2019,Ágata,Escola Pública,Ametista,Ágata,Ágata,,,,Não,Não atendido,2006,16,Fase 6 (2º EM),-1,6,4.0,reconstruido_2022,False,,False,5,,False
RA-69,2022,5,5,6,-1,5.718,8.3,6.1,7.5,6.846,2.5,6.167,5.0,4.7,2.6,0.3,16.0,2006,Menino,2018,Quartzo,Escola Pública,Ametista,Ametista,Quartzo,,,,Não,Sem limitações,2006,16,Fase 6 (2º EM),-1,6,2.5,reconstruido_2022,False,,False,5,,False
RA-70,2022,5,5,6,-1,5.712,8.8,6.6,5.0,7.098,2.9,6.111,5.0,5.7,2.9,0.2,16.0,2006,Menina,2017,Quartzo,Escola Pública,Ágata,Quartzo,Quartzo,,,,Não,Sem limitações,2006,16,Fase 6 (2º EM),-1,6,2.9,reconstruido_2022,False,,False,5,,False
RA-71,2022,5,5,7,-2,4.332,7.9,2.0,7.5,4.854,1.2,5.833,5.0,1.3,2.2,0.0,17.0,2005,Menina,2019,Quartzo,Escola Pública,Ágata,Ametista,Quartzo,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,1.2,reconstruido_2022,False,,False,5,,False
RA-72,2022,5,5,7,-2,7.64,8.3,7.5,7.5,7.666,7.8,8.667,5.0,7.5,7.8,8.0,17.0,2005,Menina,2022,Ametista,Escola Pública,,,Ametista,,,,Sim,Não atendido,2005,17,Fase 7 (3º EM),-2,7,7.8,reconstruido_2022,False,,False,5,,False
RA-73,2022,5,5,7,-2,5.271,7.1,3.0,7.5,5.954,3.3,7.278,5.0,4.5,3.0,2.3,17.0,2005,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido,2005,17,Fase 7 (3º EM),-2,7,3.3,reconstruido_2022,False,,False,5,,False
RA-74,2022,5,5,6,-1,4.989,9.6,3.3,7.5,5.524,2.0,5.833,5.0,6.0,0.0,0.0,16.0,2006,Menino,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Não atendido,2006,16,Fase 6 (2º EM),-1,6,2.0,reconstruido_2022,False,,False,5,,False
RA-75,2022,5,5,6,-1,3.915,5.4,3.8,6.3,5.6,0.0,4.625,5.0,0.0,0.0,,16.0,2006,Menina,2022,Quartzo,Escola Pública,,,Quartzo,,,,Não,Sem limitações,2006,16,Fase 6 (2º EM),-1,6,0.0,ausente,False,IPP,False,5,,False
